"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
43529374155,0926;2;1;64;112;"112_ALARME DEVIATION CHARGEMENT EAU PURFIEE";;;;;;;;"05/03/2019 08:58:47";"112_ALARME DEVIATION CHARGEMENT EAU PURFIEE";"HMI_Liaison_1"
43529374178,2407;2;0;64;112;"112_ALARME DEVIATION CHARGEMENT EAU PURFIEE";;;;;;;;"05/03/2019 08:58:49";"112_ALARME DEVIATION CHARGEMENT EAU PURFIEE";"HMI_Liaison_1"
43529374224,537;2;1;64;112;"112_ALARME DEVIATION CHARGEMENT EAU PURFIEE";;;;;;;;"05/03/2019 08:58:53";"112_ALARME DEVIATION CHARGEMENT EAU PURFIEE";"HMI_Liaison_1"
43529374317,1412;2;0;64;112;"112_ALARME DEVIATION CHARGEMENT EAU PURFIEE";;;;;;;;"05/03/2019 08:59:01";"112_ALARME DEVIATION CHARGEMENT EAU PURFIEE";"HMI_Liaison_1"
43529374340,2894;2;1;64;112;"112_ALARME DEVIATION CHARGEMENT EAU PURFIEE";;;;;;;;"05/03/2019 08:59:03";"112_ALARME DEVIATION CHARGEMENT EAU PURFIEE";"HMI_Liaison_1"
43529374340,2778;2;0;64;112;"112_ALARME DEVIATION CHARGEMENT EAU PURFIEE";;;;;;;;"05/03/2019 08:59:03";"112_ALARME DEVIATION CHARGEMENT EAU PURFIEE";"HMI_Liaison_1"
43529374363,4259;2;1;64;112;"112_ALARME DEVIATION CHARGEMENT EAU PURFIEE";;;;;;;;"05/03/2019 08:59:05";"112_ALARME DEVIATION CHARGEMENT EAU PURFIEE";"HMI_Liaison_1"
43529374386,5857;2;0;64;112;"112_ALARME DEVIATION CHARGEMENT EAU PURFIEE";;;;;;;;"05/03/2019 08:59:07";"112_ALARME DEVIATION CHARGEMENT EAU PURFIEE";"HMI_Liaison_1"
43529374409,7222;2;1;64;112;"112_ALARME DEVIATION CHARGEMENT EAU PURFIEE";;;;;;;;"05/03/2019 08:59:09";"112_ALARME DEVIATION CHARGEMENT EAU PURFIEE";"HMI_Liaison_1"
43529374409,7222;2;0;64;112;"112_ALARME DEVIATION CHARGEMENT EAU PURFIEE";;;;;;;;"05/03/2019 08:59:09";"112_ALARME DEVIATION CHARGEMENT EAU PURFIEE";"HMI_Liaison_1"
43529374432,8704;2;1;64;112;"112_ALARME DEVIATION CHARGEMENT EAU PURFIEE";;;;;;;;"05/03/2019 08:59:11";"112_ALARME DEVIATION CHARGEMENT EAU PURFIEE";"HMI_Liaison_1"
43529374432,8704;2;0;64;112;"112_ALARME DEVIATION CHARGEMENT EAU PURFIEE";;;;;;;;"05/03/2019 08:59:11";"112_ALARME DEVIATION CHARGEMENT EAU PURFIEE";"HMI_Liaison_1"
43529374456,0185;2;1;64;112;"112_ALARME DEVIATION CHARGEMENT EAU PURFIEE";;;;;;;;"05/03/2019 08:59:13";"112_ALARME DEVIATION CHARGEMENT EAU PURFIEE";"HMI_Liaison_1"
43529374456,0185;2;0;64;112;"112_ALARME DEVIATION CHARGEMENT EAU PURFIEE";;;;;;;;"05/03/2019 08:59:13";"112_ALARME DEVIATION CHARGEMENT EAU PURFIEE";"HMI_Liaison_1"
43529375249,6875;2;6;64;112;"112_ALARME DEVIATION CHARGEMENT EAU PURFIEE";;;;;;;;"05/03/2019 09:00:22";"112_ALARME DEVIATION CHARGEMENT EAU PURFIEE";"HMI_Liaison_1"
43529375567,1296;2;1;64;42;"42_DYSFONCTIONNEMENT AGITATEUR TRIPALE";;;;;;;;"05/03/2019 09:00:49";"42_DYSFONCTIONNEMENT AGITATEUR TRIPALE";"HMI_Liaison_1"
43529384386,5856;2;1;64;16;"16_DEFAUT PROFIBUS @5 : VARIATEUR AGITATION TRIPALE";;;;;;;;"05/03/2019 09:13:31";"16_DEFAUT PROFIBUS @5 : VARIATEUR AGITATION TRIPALE";"HMI_Liaison_1"
43529384785,625;2;3;64;16;"16_DEFAUT PROFIBUS @5 : VARIATEUR AGITATION TRIPALE";;;;;;;;"05/03/2019 09:14:05";"16_DEFAUT PROFIBUS @5 : VARIATEUR AGITATION TRIPALE";"HMI_Liaison_1"
43529384803,2407;2;2;64;16;"16_DEFAUT PROFIBUS @5 : VARIATEUR AGITATION TRIPALE";;;;;;;;"05/03/2019 09:14:07";"16_DEFAUT PROFIBUS @5 : VARIATEUR AGITATION TRIPALE";"HMI_Liaison_1"
43529384905,2199;2;3;64;42;"42_DYSFONCTIONNEMENT AGITATEUR TRIPALE";;;;;;;;"05/03/2019 09:14:16";"42_DYSFONCTIONNEMENT AGITATEUR TRIPALE";"HMI_Liaison_1"
43529387118,0556;2;2;64;42;"42_DYSFONCTIONNEMENT AGITATEUR TRIPALE";;;;;;;;"05/03/2019 09:17:27";"42_DYSFONCTIONNEMENT AGITATEUR TRIPALE";"HMI_Liaison_1"
43529569942,1296;2;1;64;113;"113_ALARME DEVIATION TEMPERATURE PRODUIT";;;;;;;;"05/03/2019 13:40:43";"113_ALARME DEVIATION TEMPERATURE PRODUIT";"HMI_Liaison_1"
43529573414,3519;2;0;64;113;"113_ALARME DEVIATION TEMPERATURE PRODUIT";;;;;;;;"05/03/2019 13:45:43";"113_ALARME DEVIATION TEMPERATURE PRODUIT";"HMI_Liaison_1"
43529574109,3403;2;6;64;113;"113_ALARME DEVIATION TEMPERATURE PRODUIT";;;;;;;;"05/03/2019 13:46:43";"113_ALARME DEVIATION TEMPERATURE PRODUIT";"HMI_Liaison_1"
43529886331,0185;2;1;64;85;"85_DEFAUT GROUPE FROID";;;;;;;;"05/03/2019 21:16:19";"85_DEFAUT GROUPE FROID";"HMI_Liaison_1"
43529887128,4954;2;3;64;85;"85_DEFAUT GROUPE FROID";;;;;;;;"05/03/2019 21:17:28";"85_DEFAUT GROUPE FROID";"HMI_Liaison_1"
43529887719,9074;2;2;64;85;"85_DEFAUT GROUPE FROID";;;;;;;;"05/03/2019 21:18:19";"85_DEFAUT GROUPE FROID";"HMI_Liaison_1"
