"RecordID";"TimeStamp";"DeltaToUTC";"UserID";"ObjectID";"Description";"Comment";"Checksum"
0;"05/03/2019 06:23:21";"-1:00";"Système";"Application";"Nouveau fichier journal lors de l'exécution de WinCC Runtime Advanced V15.0 sur le pupitre opérateur HMI_Panel. Projet : 'MSD_V3-1_V15.HMI_MSD/Intervet - 0' Version 40, créé avec WinCC Advanced V15";;irIdhv
573360;"05/03/2019 06:23:19";"-1:00";"BCO";"LOT: A094";"Lancé par HMI.";;adcKDK
573361;"05/03/2019 06:23:19";"-1:00";"BCO";"PHASE: PHASE ENREGISTREMENT DE DONNÉES ETAPE: 1 LOT EN COURS";"Changement d'étape";;pLtnqs
573362;"05/03/2019 06:40:13";"-1:00";"BCO";"PESONS";"Remise à zero";;Yf/xtS
573363;"05/03/2019 06:55:25";"-1:00";"Système";"Gestion des utilisateurs";"Session utilisateur terminée.";;Nv9kTZ
573364;"05/03/2019 08:17:13";"-1:00";"Système";"Gestion des utilisateurs";"L'utilisateur 'BCO' a ouvert une session avec le groupe 'Technicien de prod.'.";;1ROflY
573365;"05/03/2019 08:18:47";"-1:00";"BCO";"Gestion des utilisateurs";"L'utilisateur 'BCO' a ouvert une session avec le groupe 'Technicien de prod.'.";;o2Jk0/
573366;"05/03/2019 08:19:23";"-1:00";"BCO";"CONSIGNE: RECETTE DE PRODUCTION  - Recette Choisie: 1 _ Aquasol 8000l";"Valeur :1";;e4sBIu
573367;"05/03/2019 08:19:23";"-1:00";"BCO";"CONSIGNE: RECETTE DE PRODUCTION  SP002 - Numéro du premier pas de la recette de production";"Valeur :1";;YDeAvh
573368;"05/03/2019 08:19:41";"-1:00";"BCO";"PHASE: RECETTE DE PRODUCTION RECETTE : Aquasol 8000l";"Demande de lancement";;7tP2A2
573369;"05/03/2019 08:19:41";"-1:00";"BCO";"PHASE: CHARGEMENT EAU PURIFIÉE";"En Marche";;TBwWFO
573370;"05/03/2019 08:19:41";"-1:00";"BCO";"PHASE: CHARGEMENT EAU PURIFIÉE";"Appel Opérateur";;eZqUTc
573371;"05/03/2019 08:19:41";"-1:00";"BCO";"RECETTE: RECETTE DE PRODUCTION PAS N°1: PHASE N°0 - SÉLÉCTIONNER UNE PHASE";"Changement du pas de la recette";;RgmpVA
573372;"05/03/2019 08:19:41";"-1:00";"BCO";"PHASE: CHARGEMENT EAU PURIFIÉE ETAPE: 1 DEBUT CHARGEMENT";"Changement d'étape";;J/kWII
573373;"05/03/2019 08:19:41";"-1:00";"BCO";"PHASE: RECETTE DE PRODUCTION ETAPE: 2 LANCEMENT PHASE PROD";"Changement d'étape";;aBEdcR
573374;"05/03/2019 08:20:31";"-1:00";"BCO";"PHASE: CHARGEMENT EAU PURIFIÉE";"Confirmation opérateur";;0KtvFJ
573375;"05/03/2019 08:20:31";"-1:00";"BCO";"PHASE: CHARGEMENT EAU PURIFIÉE ETAPE: 2 REMPLISSAGE";"Changement d'étape";;e5TqfT
573376;"05/03/2019 08:36:49";"-1:00";"Système";"Gestion des utilisateurs";"Session utilisateur terminée.";;KLNT8C
573377;"05/03/2019 08:54:57";"-1:00";;"PHASE: CHARGEMENT EAU PURIFIÉE ETAPE: 3 STABILISATION";"Changement d'étape";;6LBNWZ
573378;"05/03/2019 08:55:11";"-1:00";;"PHASE: CHARGEMENT EAU PURIFIÉE ETAPE: 5 APPOINT";"Changement d'étape";;M9LxPG
573379;"05/03/2019 08:55:13";"-1:00";;"PHASE: CHARGEMENT EAU PURIFIÉE ETAPE: 3 STABILISATION";"Changement d'étape";;WfS5te
573380;"05/03/2019 08:55:27";"-1:00";;"PHASE: CHARGEMENT EAU PURIFIÉE ETAPE: 5 APPOINT";"Changement d'étape";;amxhh9
573381;"05/03/2019 08:55:29";"-1:00";;"PHASE: CHARGEMENT EAU PURIFIÉE ETAPE: 3 STABILISATION";"Changement d'étape";;CcmADd
573382;"05/03/2019 08:55:45";"-1:00";;"PHASE: CHARGEMENT EAU PURIFIÉE";"Appel Opérateur";;EmDAA3
573383;"05/03/2019 08:55:45";"-1:00";;"PHASE: CHARGEMENT EAU PURIFIÉE ETAPE: 4 FIN CHARGEMENT";"Changement d'étape";;fmRGq8
573384;"05/03/2019 08:57:43";"-1:00";;"PHASE: CHARGEMENT EAU PURIFIÉE";"En Marche";;6k22w6
573385;"05/03/2019 08:57:43";"-1:00";;"PHASE: CHARGEMENT EAU PURIFIÉE";"Appel Opérateur";;PU36/F
573386;"05/03/2019 08:57:43";"-1:00";;"PHASE: CHARGEMENT EAU PURIFIÉE";"En Marche";;kH89yE
573387;"05/03/2019 08:57:43";"-1:00";;"PHASE: CHARGEMENT EAU PURIFIÉE";"Appel Opérateur";;SZTy0q
573388;"05/03/2019 08:58:01";"-1:00";;"PHASE: CHARGEMENT EAU PURIFIÉE";"En Marche";;sj1Z/q
573389;"05/03/2019 08:58:01";"-1:00";;"PHASE: CHARGEMENT EAU PURIFIÉE";"Appel Opérateur";;06GSm9
573390;"05/03/2019 08:58:01";"-1:00";;"PHASE: CHARGEMENT EAU PURIFIÉE";"En Marche";;uCi0U7
573391;"05/03/2019 08:58:01";"-1:00";;"PHASE: CHARGEMENT EAU PURIFIÉE";"Appel Opérateur";;3LT7uT
573392;"05/03/2019 08:58:07";"-1:00";"Système";"Gestion des utilisateurs";"L'utilisateur 'BCO' a ouvert une session avec le groupe 'Technicien de prod.'.";;V4guaS
573393;"05/03/2019 08:58:47";"-1:00";"BCO";"PHASE: CHARGEMENT EAU PURIFIÉE";"En Marche";;p4M2AF
573394;"05/03/2019 08:58:47";"-1:00";"BCO";"PHASE: CHARGEMENT EAU PURIFIÉE";"Appel Opérateur";;0gB/LR
573395;"05/03/2019 08:58:49";"-1:00";"BCO";"PHASE: CHARGEMENT EAU PURIFIÉE";"En Marche";;IRtgS9
573396;"05/03/2019 08:58:49";"-1:00";"BCO";"PHASE: CHARGEMENT EAU PURIFIÉE";"Appel Opérateur";;zF3jvw
