;C1_TT101 (°C);C1_TT111 (°C);C1_PT801 (barA);C1_PT802 (barA); (); ();C2_TT101 (°C);C2_TT111 (°C);
05/03/2019 06:23:27;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:23:47;-0.01;19.3;0;0;0;21.9;0;0.01;
05/03/2019 06:24:07;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:24:27;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:24:47;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:25:07;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:25:27;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:25:47;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:26:09;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:26:29;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:26:49;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:27:09;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:27:29;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:27:49;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:28:09;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:28:29;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:28:49;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:29:11;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:29:31;-0.01;19.3;0;0;0;21.9;0;0.01;
05/03/2019 06:29:51;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:30:11;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:30:31;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:30:51;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:31:11;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:31:31;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:31:51;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:32:13;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:32:33;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 06:32:53;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 06:33:13;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 06:33:33;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 06:33:53;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 06:34:13;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:34:33;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 06:34:53;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:35:13;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 06:35:35;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 06:35:55;-0.01;19.3;0;0;0;22;0;0;
05/03/2019 06:36:15;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:36:35;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:36:55;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:37:15;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:37:35;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:37:55;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:38:15;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:38:37;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:38:57;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:39:17;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:39:37;-0.01;19.3;0;0;0;21.9;0;0.01;
05/03/2019 06:39:57;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:40:17;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:40:37;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:40:57;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:41:17;-0.01;19.3;0;0;0;21.9;0;0;
05/03/2019 06:41:39;-0.01;19.3;0;0;0;21.9;0;0;
